gamma,strategy,mean_profit,std_profit,mean_final_q,std_final_q,avg_spread,n_simultaneous_fills,n_negative_distance_events,n_lambda_dt_exceeds_one,delta_min,delta_max,inv_min,inv_max
0.01,inventory,68.3458388177792,8.995351993954374,-0.177,5.209876564162899,1.3490085437337018,13089.0,0.0,0.0,0.33765427186685104,1.025654271866851,-15.0,18.0
0.01,symmetric_full,67.89035043138288,12.988037579955561,-0.572,8.383382199154294,1.349008543733702,12827.0,0.0,0.0,0.6645542718668511,0.6844542718668511,-27.0,24.0
0.1,inventory,64.79940863918208,6.444019632472462,-0.062,2.8492585481620085,1.4917704227514228,10672.0,264.0,44.0,-0.4396147886242884,2.0403852113757117,-11.0,9.0
0.1,symmetric_full,67.25282144935349,12.555228713202098,-0.343,8.198815254143222,1.4917704227514232,10547.0,0.0,0.0,0.6463852113757116,0.8453852113757117,-26.0,24.0
0.5,inventory,48.46067100980741,5.789540588792167,-0.038,1.9499636812921306,2.1557282898071226,5494.0,14296.0,5058.0,-1.5546358550964379,4.125364144903561,-6.0,6.0
0.5,symmetric_full,58.02373028420991,11.234059383050699,-0.365,6.879469609068863,2.155728289807123,5447.0,0.0,0.0,0.5803641449035609,1.5753641449035616,-23.0,21.0
